"index","name","LossJulDec12","LossJanJun13","LossJul12Jun13","LossJulDec11","LossJanJun12","LossJul11Jun12","address","type","vo","region","attached_entitlements","egms"
522,"WHITTLESEA BOWLS CLUB",1396085.2,0,0,1454784.97,1428546.7,2883331.67,"101 CHURCH STREET WHITTLESEA   VIC 3757","Club","V9510070","Metropolitan","50","50"
523,"WILLIAMSTOWN RSL",556219.03,0,0,660459.61,611252.46,1271712.07,"128 FERGUSON STREET WILLIAMSTOWN   VIC 3016","Club","V99095274","Metropolitan","42","42"
524,"WINDERMERE HOTEL",3014884.63,0,0,3208428.9,2976809.31,6185238.21,"112 HIGH STREET KANGAROO FLAT   VIC 3555","Hotel","V06095964","Country","40","40"
525,"WONTHAGGI CLUB",2671311.96,0,0,3103778.03,2721369.85,5825147.88,"16 MCBRIDE AVENUE WONTHAGGI   VIC 3995","Club","V9410084","Country","68","68"
526,"WONTHAGGI GOLF CLUB",217230.43,0,0,278877.51,244825.85,523703.36,"MCKENZIE STREET WONTHAGGI    VIC 3995","Club","V9410084","Country","15","15"
527,"WONTHAGGI WORKMEN'S CLUB",2142808.11,0,0,2435600.26,2429165.13,4864765.39,"75 GRAHAM STREET WONTHAGGI   VIC 3995","Club","V9310100","Country","48","55"
528,"YALLOURN BOWLING CLUB",695489.13,0,0,756659.02,677061.02,1433720.04,"CNR MONASH &amp; COACH ROADS NEWBOROUGH    VIC 3825","Club","V9410148","Country","23","23"
529,"YARRA VALLEY COUNTRY CLUB",2296370.62,0,0,2866969.73,2446683.57,5313653.3,"9 - 15 TEMPLESTOWE ROAD BULLEEN   VIC 3105","Club","V9310130","Metropolitan","70","100"
530,"YARRAVILLE-FOOTSCRAY BOWLING CLUB",1135867.83,0,0,1190986.02,1078436.16,2269422.18,"CNR FRANCIS &amp; HAWKHURST STREET YARRAVILLE    VIC 3013","Club","V9410034","Metropolitan","29","29"
531,"YARRAVILLE CLUB",1855619.38,0,0,2082362.06,1845332.45,3927694.51,"135 STEPHEN STREET YARRAVILLE   VIC 3013","Club","V9310121","Metropolitan","78","78"
532,"YARRAVILLE CLUB CRICKET CLUB",6630313.36,0,0,5741656.99,5964868.73,11706525.72,"CORNER BALLARAT &amp; ROSAMOND ROADS MAIDSTONE VIC 3012","Club","V9310008","Metropolitan","76","76"
